"PrimaryKey","max_height"
"201A",25.5
"201G",37.98
"202A",33.25
"202G",26.56
"203A",32.19
"203G",38.62
"204A",21.51
"204G",26.62
"205A",20.75
"205G",32.92
"206A",47.69
"206G",40.81
"207A",26.81
"207G",8
"208A",29.94
"208G",15.46
"209A",47.75
"209G",38
"210A",38.38
"210G",17.12
"211A",21.38
"211G",24.19
"212A",27.62
"212G",32.75
"213A",44.56
"213G",25.62
"214A",38.81
"214G",22.88
"215A",28.88
"215G",24.94
"216A",23.81
"216G",43.81
"217A",31.75
"217G",37
"218A",26.62
"218G",37.38
"219A",24.25
"219G",24.88
"220A",17.94
"220G",11.94
"221A",40.12
"221G",29.38
"222A",9.75
"222G",15.75
"223A",33.25
"223G",33.75
"224A",41.81
"224G",23.75
"225A",26.69
"225G",38
"226A",34.75
"226G",23.81
"227A",40.81
"227G",28.69
"228A",31.19
"228G",34.69
"229A",42.06
"229G",37.38
"230A",41.25
"230G",42.12
"231A",33.5
"231G",32.12
"232A",42.88
"232G",41.62
"233A",43
"233G",47.12
"234A",30.12
"234G",36.38
"235A",37.31
"235G",34.44
"236A",35
"236G",33.69
"237A",34.88
"237G",36.44
"238A",62.69
"238G",16.06
"239A",45.19
"239G",25
"240A",71.12
"240G",75.69
"241A",62.69
"241G",59.81
"242A",58.56
"242G",61.06
"243A",54.25
"243G",51.25
"244A",58.38
"244G",40.25
"245A",42.69
"245G",43.12
