"PrimaryKey","AG","Forb","PG"
"201A",5.9,0,25.44
"201G",9.75,14.53,32.61
"202A",0,1.62,33.25
"202G",0,0,26.56
"203A",0,0,32.19
"203G",13.62,4.56,37.81
"204A",15.21,11.75,12.39
"204G",7,1.75,26.62
"205A",7.06,5.12,19.5
"205G",7.81,5.94,32.92
"206A",0,2.56,47.69
"206G",0,0,40.81
"207A",0.25,0.38,26.81
"207G",0,8,0
"208A",7.56,2.38,29.94
"208G",7.75,12.34,13.19
"209A",0.69,0,47.75
"209G",9.38,19.88,36.81
"210A",12,7,38.19
"210G",10.69,12.38,15.62
"211A",3,0.5,21.38
"211G",3.88,18.5,21.31
"212A",5.38,3.75,27.62
"212G",5.19,15.5,31.38
"213A",0,0,44.56
"213G",9.25,14.44,25.62
"214A",2.31,0.75,38.81
"214G",3.38,6.94,21.25
"215A",1.62,2.12,27.25
"215G",0,15.25,22.88
"216A",17.81,20.94,0.62
"216G",1.75,19.88,36.31
"217A",10,5.5,27.38
"217G",1.12,7,37
"218A",10.38,0,26.62
"218G",7.38,11.12,37.12
"219A",15.38,8.5,17.62
"219G",6.69,7.38,24.25
"220A",9.38,4.75,13.06
"220G",4.38,5.31,11.44
"221A",2.5,7.75,40.12
"221G",2.88,5.5,28.62
"222A",5.88,7.12,3.62
"222G",1.5,8.31,7.88
"223A",6.62,6.38,29.5
"223G",0,12,24.12
"224A",4,5,41.81
"224G",17.88,13.5,16.38
"225A",5.06,21.56,15.12
"225G",18.5,22.38,38
"226A",11.81,10.81,32.75
"226G",13.19,15.81,22.69
"227A",14.94,6.06,40.81
"227G",14.56,7.62,28.69
"228A",15.94,21.75,22.31
"228G",28.19,30.81,16.5
"229A",24.88,40.81,26.75
"229G",25.88,31.62,22.69
"230A",21.19,15.12,40.44
"230G",21.31,28.75,36.19
"231A",25.12,21.81,29.38
"231G",19.12,24.31,22.44
"232A",26.25,12.56,41.25
"232G",31.44,27,36.25
"233A",32.19,33.06,39.81
"233G",22.62,35.69,41.88
"234A",0,0,30.12
"234G",24.19,1.69,35.81
"235A",26.25,1,35.44
"235G",20.62,17.88,32.19
"236A",0,8.06,35
"236G",10.62,16.94,33.25
"237A",3.94,0,34.88
"237G",9.19,1,36.44
"238A",20.31,5.94,61.56
"238G",0.75,15.06,7.88
"239A",34.69,13.62,37.75
"239G",0,10.19,23.5
"240A",21.5,29,71.12
"240G",13.94,71.69,46.25
"241A",43.31,51,59.81
"241G",27.88,53.12,46.56
"242A",32,40.75,54.19
"242G",5.06,57.56,46.94
"243A",37.19,33.69,38.56
"243G",2.25,10.12,51.25
"244A",15.12,10.56,58.38
"244G",11.5,24,37.62
"245A",29.25,29.81,33
"245G",34.06,31.94,38
