"PrimaryKey","S"
"201A",5
"201G",10
"202A",21.67
"202G",13.33
"203A",6.67
"203G",3.33
"204A",0
"204G",3.33
"205A",10
"205G",0
"206A",28.33
"206G",15
"207A",48.33
"207G",68.33
"208A",43.33
"208G",73.33
"209A",11.67
"209G",11.67
"210A",20
"210G",46.67
"211A",45
"211G",0
"212A",28.33
"212G",10
"213A",8.33
"213G",23.33
"214A",23.33
"214G",41.67
"215A",40
"215G",71.67
"216A",41.67
"216G",66.67
"217A",55
"217G",53.33
"218A",36.67
"218G",56.67
"219A",41.67
"219G",53.33
"220A",35
"220G",75
"221A",28.33
"221G",15
"222A",30
"222G",70
"223A",56.67
"223G",23.33
"224A",30
"224G",50
"225A",26.67
"225G",11.67
"226A",3.33
"226G",20
"227A",5
"227G",15
"228A",10
"228G",0
"229A",3.33
"229G",6.67
"230A",5
"230G",6.67
"231A",5
"231G",11.67
"232A",3.33
"232G",5
"233A",3.33
"233G",21.67
"234A",35
"234G",15
"235A",1.67
"235G",8.33
"236A",3.33
"236G",20
"237A",5
"237G",11.67
"238A",6.67
"238G",38.33
"239A",26.67
"239G",56.67
"240A",15
"240G",1.67
"241A",8.33
"241G",5
"242A",11.67
"242G",11.67
"243A",3.33
"243G",33.33
"244A",5
"244G",50
"245A",3.33
"245G",8.33
