"PrimaryKey","ACMI2","ACTH7","AGROP","ARTRT","ASTRA","BASC5","BRTE","CENTA","CETE5","CHJU","CHVI8","CRAT","DESO2","DF","DG","DRVE2","DS","ELEL5","ELLAL","EPBR3","ERCI6","ERPU2","GADI2","GARA2","HECO26","HOUM","KOMA","KOPR80","L","LAOC3","LASE","LECI4","LEPE2","LILE3","LODI","LUAR6","LUSE4","MESA","NEST5","PHLO2","POBU","POFE","POSE","PSJU3","PSSP6","R","S","SATR12","SIAL2","STEX","TAOF","TRDU","VIOLA","VUBR","W"
"201A",0,25,80,0,0,0,33.33,0,0,6.67,0,0,0,0,6.67,0,0,0,3.33,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,6.67,0,0,0,83.33,0,0,1.67,100,0,0,0,0,0,0,0,0
"201G",0,20,55,0,5,0,23.33,0,0,21.67,0,0,0,1.67,6.67,0,0,0,0,0,0,0,0,0,0,0,1.67,0,100,0,0,0,0,0,0,0,0,0,0,0,3.33,0,68.33,0,0,16.67,100,0,0,0,0,0,0,0,0
"202A",0,11.67,88.33,0,0,0,5,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.67,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,100,0,0,0,0,0,0,0,15
"202G",0,0,80,0,0,0,5,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,78.33,0,0,0,100,0,0,0,0,0,0,0,8.33
"203A",0,0,25,0,1.67,0,53.33,0,0,16.67,0,0,0,6.67,0,0,0,0,3.33,0,0,0,0,1.67,0,0,0,0,100,0,0,0,0,0,0,3.33,0,0,3.33,0,0,0,78.33,0,0,0,100,0,0,0,0,0,0,0,0
"203G",0,1.67,53.33,0,0,0,61.67,0,0,15,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,0,0,8.33,100,0,1.67,0,0,1.67,0,0,0
"204A",0,0,13.33,0,0,0,93.33,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,3.33,0,0,0,0,0,0,0,0,0,3.33,0,31.67,0,0,1.67,100,0,20,0,0,0,0,0,10
"204G",0,0,68.33,0,1.67,0,31.67,0,0,3.33,0,0,0,1.67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.67,0,0,0,0,0,0,0,0,0,0,0,0,78.33,0,0,8.33,100,0,0,0,0,0,0,0,0
"205A",0,1.67,45,0,0,0,41.67,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,6.67,0,0,0,0,41.67,0,0,1.67,100,6.67,0,0,0,0,0,0,0
"205G",0,0,68.33,0,0,0,6.67,0,0,3.33,0,0,0,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,100,0,0,0,0,0,0,0,0
"206A",0,0,100,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"206G",0,0,100,0,0,0,1.67,0,0,3.33,1.67,0,0,3.33,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.67,0,0,0,0,0
"207A",0,3.33,55,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,43.33,0,0,0,100,0,0,0,0,0,0,0,0
"207G",0,0,13.33,0,0,0,1.67,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,65,0,0,0,0,0,0,0
"208A",0,0,70,0,0,0,55,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67,0,0,0,0,0,0,0,0,0,0,0,0,0,28.33,0,0,0,100,0,1.67,0,0,0,0,0,0
"208G",0,0,56.67,0,0,0,23.33,0,0,0,0,0,0,1.67,1.67,0,0,0,0,0,0,0,0,0,0,0,0,13.33,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,100,8.33,8.33,0,0,0,0,0,0
"209A",0,95,36.67,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,100,1.67,0,0,0,0,0,0,0
"209G",0,5,90,0,0,0,38.33,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,0,0,0,0,0,0,0,0,0,1.67,0,0,0,18.33,0,0,1.67,100,0,0,0,0,0,0,0,0
"210A",0,66.67,61.67,0,0,0,20,0,0,0,0,0,0,1.67,3.33,0,0,0,3.33,0,0,0,0,0,0,0,0,0,51.67,0,0,0,0,0,0,0,0,0,1.67,0,0,0,16.67,0,0,1.67,100,0,0,0,0,0,0,0,0
"210G",0,0,58.33,0,0,0,21.67,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,100,1.67,0,0,0,0,0,0,0
"211A",0,0,68.33,0,0,0,1.67,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0,48.33,0,0,0,100,0,0,0,0,0,0,0,0
"211G",0,1.67,76.67,0,0,5,30,0,0,0,0,0,0,0,3.33,0,0,1.67,0,0,0,0,0,0,0,0,0,55,100,0,0,0,0,0,0,0,0,0,0,0,0,0,43.33,0,0,0,100,0,0,0,0,0,0,0,0
"212A",0,0,51.67,0,0,0,58.33,0,0,0,0,0,0,5,1.67,0,0,0,0,0,0,0,0,0,0,0,0,1.67,100,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,1.67,100,18.33,1.67,0,0,0,0,0,0
"212G",0,0,48.33,0,0,3.33,76.67,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,95,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,18.33,100,6.67,5,0,0,0,0,0,0
"213A",0,0,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,100,0,0,3.33,0,0,0,0,0
"213G",0,0,60,0,0,0,55,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,33.33,38.33,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,100,8.33,0,0,0,0,0,0,0
"214A",0,0,88.33,3.33,0,0,31.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,36.67,0,0,0,100,1.67,0,0,0,3.33,0,0,0
"214G",0,0,93.33,0,0,0,6.67,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,18.33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,100,3.33,1.67,0,0,0,0,0,0
