"n.PrimaryKey","n.total_line_length","n..0.1e.05.","n.NoGap"
"201A",9000,86,0
"201G",9000,100,0
"202A",9000,109,0
"202G",9000,142,0
"203A",9000,99,0
"203G",9000,124,0
"204A",9000,99,0
"204G",9000,140,0
"205A",9000,126,0
"205G",9000,33,0
"206A",9000,67,0
"206G",9000,74,0
"207A",9000,100,0
"207G",9000,125,0
"208A",9000,106,0
"208G",9000,119,0
"209A",9000,70,0
"209G",9000,60,0
"210A",9000,93,0
"210G",9000,92,0
"211A",9000,112,0
"211G",9000,90,0
"212A",9000,103,0
"212G",9000,95,0
"213A",9000,109,0
"213G",9000,130,0
"214A",9000,92,0
"214G",9000,112,0
"215A",9000,119,0
"215G",9000,88,0
"216A",9000,85,0
"216G",9000,83,0
"217A",9000,98,0
"217G",9000,101,0
"218A",9000,127,0
"218G",9000,81,0
"219A",9000,92,0
"219G",9000,100,0
"220A",9000,104,0
"220G",9000,113,0
"221A",9000,111,0
"221G",9000,52,0
"222A",9000,99,0
"222G",9000,108,0
"223A",9000,123,0
"223G",9000,43,0
"224A",9000,129,0
"224G",9000,118,0
"225A",9000,133,0
"225G",9000,60,0
"226A",9000,44,0
"226G",9000,160,0
"227A",9000,107,0
"227G",9000,122,0
"228A",9000,83,0
"228G",9000,36,0
"229A",9000,44,0
"229G",9000,119,0
"230A",9000,134,0
"230G",9000,155,0
"231A",9000,38,0
"231G",9000,54,1
"232A",9000,66,0
"232G",9000,55,0
"233A",9000,29,0
"233G",9000,49,0
"234A",9000,97,0
"234G",9000,98,0
"235A",9000,120,0
"235G",9000,122,0
"236A",9000,71,0
"236G",9000,165,0
"237A",9000,140,0
"237G",9000,146,0
"238A",9000,87,0
"238G",9000,156,0
"239A",9000,74,0
"239G",9000,121,0
"240A",9000,114,0
"240G",9000,100,0
"241A",9000,86,0
"241G",9000,73,0
"242A",9000,119,0
"242G",9000,94,0
"243A",9000,34,0
"243G",9000,136,1
"244A",9000,87,0
"244G",9000,130,0
"245A",9000,71,0
"245G",9000,82,0
