"percent.PrimaryKey","percent.total_line_length","percent..0.1e.05.","percent.NoGap"
"201A",9000,30.74,0
"201G",9000,40.46,0
"202A",9000,48.44,0
"202G",9000,43.88,0
"203A",9000,30.76,0
"203G",9000,33.32,0
"204A",9000,35.18,0
"204G",9000,44.46,0
"205A",9000,46.88,0
"205G",9000,10.3,0
"206A",9000,33.74,0
"206G",9000,26.48,0
"207A",9000,64.87,0
"207G",9000,51.18,0
"208A",9000,57.49,0
"208G",9000,59.07,0
"209A",9000,20.27,0
"209G",9000,18.53,0
"210A",9000,31.11,0
"210G",9000,68.78,0
"211A",9000,60,0
"211G",9000,32.79,0
"212A",9000,60.42,0
"212G",9000,48.76,0
"213A",9000,47.74,0
"213G",9000,42.93,0
"214A",9000,34.66,0
"214G",9000,42.91,0
"215A",9000,40.61,0
"215G",9000,76.73,0
"216A",9000,27.11,0
"216G",9000,76.98,0
"217A",9000,61.29,0
"217G",9000,60.29,0
"218A",9000,53.53,0
"218G",9000,45.27,0
"219A",9000,36.17,0
"219G",9000,51.86,0
"220A",9000,47.83,0
"220G",9000,73.31,0
"221A",9000,39.29,0
"221G",9000,14.97,0
"222A",9000,43.98,0
"222G",9000,72.58,0
"223A",9000,58.96,0
"223G",9000,16.89,0
"224A",9000,45.82,0
"224G",9000,56.5,0
"225A",9000,41.46,0
"225G",9000,25.7,0
"226A",9000,11.4,0
"226G",9000,52.82,0
"227A",9000,23.68,0
"227G",9000,29.74,0
"228A",9000,20.91,0
"228G",9000,8.82,0
"229A",9000,9.96,0
"229G",9000,36.04,0
"230A",9000,49.32,0
"230G",9000,59.04,0
"231A",9000,9.01,0
"231G",9000,13.61,-0.72
"232A",9000,20.54,0
"232G",9000,17.22,0
"233A",9000,5.97,0
"233G",9000,21.38,0
"234A",9000,25.3,0
"234G",9000,26.19,0
"235A",9000,26.91,0
"235G",9000,29.61,0
"236A",9000,13.28,0
"236G",9000,43.27,0
"237A",9000,36.17,0
"237G",9000,37.87,0
"238A",9000,22.82,0
"238G",9000,54.57,0
"239A",9000,21.66,0
"239G",9000,61.23,0
"240A",9000,33.74,0
"240G",9000,22.52,0
"241A",9000,16.17,0
"241G",9000,15.08,0
"242A",9000,26.37,0
"242G",9000,22.38,0
"243A",9000,7.71,0
"243G",9000,53.7,-0.27
"244A",9000,24.98,0
"244G",9000,51.22,0
"245A",9000,16.98,0
"245G",9000,18.24,0
