"Region","PrimaryKey","Line","PointNbr","layer","code","LineKey","PointLoc"
"SH","201A",2,0,"FOLIAR_1","BRTE","201A",0
"SH","201A",2,0,"FOLIAR_2","L","201A",0
"SH","201A",2,0,"SOIL_SURF","S","201A",0
"SH","201A",2,0.5,"FOLIAR_1","POSE","201A",0.5
"SH","201A",2,0.5,"FOLIAR_2","L","201A",0.5
"SH","201A",2,0.5,"SOIL_SURF","S","201A",0.5
"SH","201A",2,1,"FOLIAR_1","N","201A",1
"SH","201A",2,1,"FOLIAR_2","L","201A",1
"SH","201A",2,1,"SOIL_SURF","S","201A",1
"SH","201A",2,1.5,"FOLIAR_1","POSE","201A",1.5
"SH","201A",2,1.5,"FOLIAR_2","L","201A",1.5
"SH","201A",2,1.5,"SOIL_SURF","S","201A",1.5
"SH","201A",2,2,"FOLIAR_1","BRTE","201A",2
"SH","201A",2,2,"FOLIAR_2","L","201A",2
"SH","201A",2,2,"SOIL_SURF","S","201A",2
"SH","201A",2,2.5,"FOLIAR_1","POSE","201A",2.5
"SH","201A",2,2.5,"FOLIAR_2","L","201A",2.5
"SH","201A",2,2.5,"SOIL_SURF","S","201A",2.5
"SH","201A",2,3,"FOLIAR_1","AGROP","201A",3
"SH","201A",2,3,"FOLIAR_2","L","201A",3
"SH","201A",2,3,"SOIL_SURF","S","201A",3
"SH","201A",2,3.5,"FOLIAR_1","POSE","201A",3.5
"SH","201A",2,3.5,"FOLIAR_2","L","201A",3.5
"SH","201A",2,3.5,"SOIL_SURF","S","201A",3.5
"SH","201A",2,4,"FOLIAR_1","AGROP","201A",4
"SH","201A",2,4,"FOLIAR_2","POSE","201A",4
"SH","201A",2,4,"FOLIAR_3","L","201A",4
"SH","201A",2,4,"SOIL_SURF","S","201A",4
"SH","201A",2,4.5,"FOLIAR_1","AGROP","201A",4.5
"SH","201A",2,4.5,"FOLIAR_2","POSE","201A",4.5
"SH","201A",2,4.5,"FOLIAR_3","L","201A",4.5
"SH","201A",2,4.5,"SOIL_SURF","S","201A",4.5
"SH","201A",2,5,"FOLIAR_1","N","201A",5
"SH","201A",2,5,"FOLIAR_2","L","201A",5
"SH","201A",2,5,"SOIL_SURF","S","201A",5
"SH","201A",2,5.5,"FOLIAR_1","AGROP","201A",5.5
