"LineKey","PrimaryKey","PointLoc","PointNbr","species","Height"
"201A","201A",1,1,"PG",31
"201A","201A",1,1,"AG",9.2
"201A","201A",1,1,"Forb",0
"201A","201A",5,5,"PG",7
"201A","201A",5,5,"AG",7.5
"201A","201A",5,5,"Forb",0
"201A","201A",9,9,"PG",19
"201A","201A",9,9,"AG",7.5
"201A","201A",9,9,"Forb",0
"201A","201A",13,13,"PG",35
"201A","201A",13,13,"AG",5
"201A","201A",13,13,"Forb",0
"201A","201A",17,17,"PG",32
"201A","201A",17,17,"AG",7
"201A","201A",17,17,"Forb",0
"201A","201A",21,21,"PG",8
"201A","201A",21,21,"AG",8
"201A","201A",21,21,"Forb",0
"201A","201A",25,25,"PG",34.5
"201A","201A",25,25,"AG",3
"201A","201A",25,25,"Forb",0
"201A","201A",29,29,"PG",37
"201A","201A",29,29,"AG",0
"201A","201A",29,29,"Forb",0
"201G","201G",1,1,"PG",0
"201G","201G",1,1,"AG",25.5
"201G","201G",1,1,"Forb",23.5
"201G","201G",5,5,"PG",16.3
"201G","201G",5,5,"AG",7.5
"201G","201G",5,5,"Forb",33.7
"201G","201G",9,9,"PG",45.5
"201G","201G",9,9,"AG",13
"201G","201G",9,9,"Forb",15
"201G","201G",13,13,"PG",43.6
"201G","201G",13,13,"AG",7
"201G","201G",13,13,"Forb",0
"201G","201G",17,17,"PG",37.5
"201G","201G",17,17,"AG",15
"201G","201G",17,17,"Forb",21
"201G","201G",21,21,"PG",47
"201G","201G",21,21,"AG",5
"201G","201G",21,21,"Forb",23
"201G","201G",25,25,"PG",26
"201G","201G",25,25,"AG",5
"201G","201G",25,25,"Forb",0
"201G","201G",29,29,"PG",45
"201G","201G",29,29,"AG",0
"201G","201G",29,29,"Forb",0
"202A","202A",1,1,"PG",27
"202A","202A",1,1,"AG",0
"202A","202A",1,1,"Forb",0
"202A","202A",5,5,"PG",39
"202A","202A",5,5,"AG",0
"202A","202A",5,5,"Forb",0
