Region,PrimaryKey,Line,PointNbr,FOLIAR_1,FOLIAR_2,FOLIAR_3,FOLIAR_4,FOLIAR_5,SOIL_SURF
SH,201A,2,0,BRTE,L,NA,NA,NA,S
SH,201A,2,0.5,POSE,L,NA,NA,NA,S
SH,201A,2,1,N,L,NA,NA,NA,S
SH,201A,2,1.5,POSE,L,NA,NA,NA,S
SH,201A,2,2,BRTE,L,NA,NA,NA,S
SH,201A,2,2.5,POSE,L,NA,NA,NA,S
SH,201A,2,3,AGROP,L,NA,NA,NA,S
SH,201A,2,3.5,POSE,L,NA,NA,NA,S
SH,201A,2,4,AGROP,POSE,L,NA,NA,S
SH,201A,2,4.5,AGROP,POSE,L,NA,NA,S
SH,201A,2,5,N,L,NA,NA,NA,S
SH,201A,2,5.5,AGROP,POSE,L,NA,NA,S
SH,201A,2,6,BRTE,POSE,L,NA,NA,S
SH,201A,2,6.5,AGROP,POSE,L,NA,NA,S
SH,201A,2,7,BRTE,POSE,L,NA,NA,S
SH,201A,2,7.5,AGROP,POSE,L,NA,NA,S
SH,201A,2,8,POSE,L,NA,NA,NA,S
SH,201A,2,8.5,POSE,L,NA,NA,NA,S
SH,201A,2,9,POSE,L,NA,NA,NA,S
SH,201A,2,9.5,POSE,L,NA,NA,NA,S
SH,201A,2,10,POSE,L,NA,NA,NA,S
SH,201A,2,10.5,N,L,NA,NA,NA,S
SH,201A,2,11,AGROP,L,NA,NA,NA,S
SH,201A,2,11.5,AGROP,POSE,L,NA,NA,S
SH,201A,2,12,AGROP,L,NA,NA,NA,S
SH,201A,2,12.5,AGROP,L,NA,NA,NA,S
SH,201A,2,13,ACTH7,DG,L,NA,NA,S
SH,201A,2,13.5,ACTH7,POSE,L,NA,NA,S
SH,201A,2,14,N,L,NA,NA,NA,S
SH,201A,2,14.5,N,L,NA,NA,NA,S
SH,201A,2,15,ACTH7,L,NA,NA,NA,S
SH,201A,2,15.5,POSE,L,NA,NA,NA,S
SH,201A,2,16,N,L,NA,NA,NA,S
SH,201A,2,16.5,POSE,L,NA,NA,NA,S
SH,201A,2,17,N,NA,NA,NA,NA,S
SH,201A,2,17.5,POSE,NA,NA,NA,NA,S
SH,201A,2,18,N,L,NA,NA,NA,S
SH,201A,2,18.5,POSE,NA,NA,NA,NA,POSE
SH,201A,2,19,POSE,NA,NA,NA,NA,S
SH,201A,2,19.5,N,NA,NA,NA,NA,S
SH,201A,2,20,N,NA,NA,NA,NA,S
SH,201A,2,20.5,POSE,L,NA,NA,NA,S
SH,201A,2,21,AGROP,POSE,L,NA,NA,S
SH,201A,2,21.5,POSE,L,NA,NA,NA,S
SH,201A,2,22,POSE,NA,NA,NA,NA,POSE
SH,201A,2,22.5,AGROP,POSE,L,NA,NA,S
SH,201A,2,23,POSE,L,NA,NA,NA,S
SH,201A,2,23.5,AGROP,L,NA,NA,NA,S
SH,201A,2,24,ACTH7,AGROP,L,NA,NA,S
SH,201A,2,24.5,AGROP,POSE,L,NA,NA,S
SH,201A,2,25,AGROP,POSE,NA,NA,NA,S
SH,201A,2,25.5,AGROP,L,NA,NA,NA,S
SH,201A,2,26,N,L,NA,NA,NA,S
SH,201A,2,26.5,POSE,CHJU,L,NA,NA,S
SH,201A,2,27,ACTH7,POSE,L,NA,NA,S
SH,201A,2,27.5,AGROP,POSE,L,NA,NA,S
SH,201A,2,28,POSE,L,NA,NA,NA,S
SH,201A,2,28.5,AGROP,POSE,L,NA,NA,S
SH,201A,2,29,AGROP,NA,NA,NA,NA,AGROP
SH,201A,2,29.5,AGROP,L,NA,NA,NA,S
SH,201A,15,0,N,L,NA,NA,NA,S
SH,201A,15,0.5,AGROP,NA,NA,NA,NA,AGROP
SH,201A,15,1,AGROP,L,NA,NA,NA,S
SH,201A,15,1.5,POSE,L,NA,NA,NA,S
SH,201A,15,2,N,L,NA,NA,NA,S
SH,201A,15,2.5,POSE,L,NA,NA,NA,S
SH,201A,15,3,AGROP,NA,NA,NA,NA,AGROP
SH,201A,15,3.5,AGROP,POSE,L,NA,NA,S
SH,201A,15,4,AGROP,L,NA,NA,NA,S
SH,201A,15,4.5,BRTE,L,NA,NA,NA,S
SH,201A,15,5,POSE,L,NA,NA,NA,S
SH,201A,15,5.5,N,L,NA,NA,NA,S
SH,201A,15,6,POSE,L,NA,NA,NA,S
SH,201A,15,6.5,N,L,NA,NA,NA,S
SH,201A,15,7,AGROP,L,NA,NA,NA,S
SH,201A,15,7.5,N,L,NA,NA,NA,S
SH,201A,15,8,BRTE,L,NA,NA,NA,S
SH,201A,15,8.5,N,L,NA,NA,NA,S
SH,201A,15,9,BRTE,L,NA,NA,NA,S
SH,201A,15,9.5,AGROP,L,NA,NA,NA,S
SH,201A,15,10,POSE,L,NA,NA,NA,S
SH,201A,15,10.5,AGROP,ACTH7,POSE,L,NA,S
SH,201A,15,11,AGROP,BRTE,L,NA,NA,S
