LineKey,PrimaryKey,PointLoc,PointNbr,PG,AG,Forb
201A,201A,1,1,31,9.2,0
201A,201A,5,5,7,7.5,0
201A,201A,9,9,19,7.5,0
201A,201A,13,13,35,5,0
201A,201A,17,17,32,7,0
201A,201A,21,21,8,8,0
201A,201A,25,25,34.5,3,0
201A,201A,29,29,37,0,0
201G,201G,1,1,0,25.5,23.5
201G,201G,5,5,16.3,7.5,33.7
201G,201G,9,9,45.5,13,15
201G,201G,13,13,43.6,7,0
201G,201G,17,17,37.5,15,21
201G,201G,21,21,47,5,23
201G,201G,25,25,26,5,0
201G,201G,29,29,45,0,0
202A,202A,1,1,27,0,0
202A,202A,5,5,39,0,0
202A,202A,9,9,31,0,0
202A,202A,13,13,35.5,0,0
202A,202A,17,17,37,0,0
202A,202A,21,21,41,0,4
202A,202A,25,25,31,0,4
202A,202A,29,29,24.5,0,5
202G,202G,1,1,24,0,0
202G,202G,5,5,16,0,0
202G,202G,9,9,21,0,0
202G,202G,13,13,47,0,0
202G,202G,17,17,37.5,0,0
202G,202G,21,21,29.5,0,0
202G,202G,25,25,20,0,0
202G,202G,29,29,17.5,0,0
203A,203A,1,1,46,0,0
203A,203A,5,5,31,0,0
203A,203A,9,9,37,0,0
203A,203A,13,13,40,0,0
203A,203A,17,17,39,0,0
203A,203A,21,21,5.5,0,0
203A,203A,25,25,17,0,0
203A,203A,29,29,42,0,0
203G,203G,1,1,41.5,11.5,0
203G,203G,5,5,17.5,18,0
203G,203G,9,9,44.5,20,0
203G,203G,13,13,52.5,9.5,7.5
203G,203G,17,17,51.5,9,0
203G,203G,21,21,25.5,18,0
203G,203G,25,25,23,13.5,29
203G,203G,29,29,46.5,9.5,0
204A,204A,1,1,3.5,14,37.5
204A,204A,5,5,18,11,0
204A,204A,9,9,30,26,14
204A,204A,13,13,16.6,5,12.5
204A,204A,17,17,12.1,9.5,1
204A,204A,21,21,0,22,12
204A,204A,25,25,8,25,17
204A,204A,29,29,10.9,9.2,0
204G,204G,1,1,28,0,0
204G,204G,5,5,47,12,6
204G,204G,9,9,29,11,0
204G,204G,13,13,24,8,0
204G,204G,17,17,33,9,4
204G,204G,21,21,14,10,0
204G,204G,25,25,24,6,0
204G,204G,29,29,14,0,4
205A,205A,1,1,12.5,0,5
205A,205A,5,5,22,7.5,0
205A,205A,9,9,16.5,9,4.5
205A,205A,13,13,19,7,2
205A,205A,17,17,0,10,6.5
205A,205A,21,21,30,7,18
205A,205A,25,25,17,10,5
205A,205A,29,29,39,6,0
205G,205G,1,1,37.5,0,7
205G,205G,5,5,36,0,0
205G,205G,9,9,31,0,15
205G,205G,13,13,25,0,7
205G,205G,17,17,17.9,11.5,10.5
205G,205G,21,21,32,31,8
205G,205G,25,25,42,20,0
205G,205G,29,29,42,0,0
206A,206A,1,1,42.5,0,0
206A,206A,5,5,68,0,0
206A,206A,9,9,53.5,0,0
206A,206A,13,13,36,0,0
206A,206A,17,17,64,0,0
206A,206A,21,21,41,0,0
206A,206A,25,25,37.5,0,20.5
206A,206A,29,29,39,0,0
206G,206G,1,1,49,0,0
206G,206G,5,5,40.5,0,0
206G,206G,9,9,39.5,0,0
206G,206G,13,13,41,0,0
206G,206G,17,17,38,0,0
206G,206G,21,21,37,0,0
206G,206G,25,25,45,0,0
206G,206G,29,29,36.5,0,0
207A,207A,1,1,30,0,0
207A,207A,5,5,32,0,0
207A,207A,9,9,49.5,0,0
207A,207A,13,13,15,0,3
207A,207A,17,17,9.5,0,0
207A,207A,21,21,37,0,0
207A,207A,25,25,3,2,0
207A,207A,29,29,38.5,0,0
207G,207G,1,1,0,0,7
207G,207G,5,5,0,0,7
207G,207G,9,9,0,0,6
207G,207G,13,13,0,0,11
207G,207G,17,17,0,0,7.5
207G,207G,21,21,0,0,7
207G,207G,25,25,0,0,7.5
207G,207G,29,29,0,0,11
208A,208A,1,1,17,15,4
208A,208A,5,5,22,14,5
208A,208A,9,9,25,0,0
208A,208A,13,13,47,5,7
208A,208A,17,17,48,0,0
208A,208A,21,21,33.5,6,0
208A,208A,25,25,16,13.5,0
208A,208A,29,29,31,7,3
208G,208G,1,1,4.5,9,6.5
208G,208G,5,5,14,11,9
208G,208G,9,9,18,2,12
208G,208G,13,13,9.5,6.5,14
208G,208G,17,17,23,8,12
208G,208G,21,21,16.5,12,16
208G,208G,25,25,12,7,14.2
208G,208G,29,29,8,6.5,15
209A,209A,1,1,50,0,0
209A,209A,5,5,45,0,0
209A,209A,9,9,44,0,0
209A,209A,13,13,49,0,0
209A,209A,17,17,53,0,0
209A,209A,21,21,58,5.5,0
209A,209A,25,25,32,0,0
209A,209A,29,29,51,0,0
209G,209G,1,1,50,12,27
209G,209G,5,5,32,13,22.5
209G,209G,9,9,40,7,11
209G,209G,13,13,26,7,5.5
209G,209G,17,17,44,9,24
209G,209G,21,21,37.5,7,18
209G,209G,25,25,32,8,8.5
