LineKey,PrimaryKey,TRANSECT,GapStart,GapEnd,Gap,LineLengthAmount,GapMin,Measure,RecType
201A,201A,2,53,72,19,90,10,1,C
201A,201A,2,81,94,13,90,10,1,C
201A,201A,2,148,161,13,90,10,1,C
201A,201A,2,292,315,23,90,10,1,C
201A,201A,2,492,515,23,90,10,1,C
201A,201A,2,572,588,16,90,10,1,C
201A,201A,2,620,641,21,90,10,1,C
201A,201A,2,908,922,14,90,10,1,C
201A,201A,2,1050,1086,36,90,10,1,C
201A,201A,2,1195,1219,24,90,10,1,C
201A,201A,2,1367,1406,39,90,10,1,C
201A,201A,2,1428,1452,24,90,10,1,C
201A,201A,2,1586,1600,14,90,10,1,C
201A,201A,2,1620,1645,25,90,10,1,C
201A,201A,2,1690,1828,138,90,10,1,C
201A,201A,2,1855,1880,25,90,10,1,C
201A,201A,2,1896,1909,13,90,10,1,C
201A,201A,2,1923,1966,43,90,10,1,C
201A,201A,2,1973,2032,59,90,10,1,C
201A,201A,2,2066,2090,24,90,10,1,C
201A,201A,2,2130,2147,17,90,10,1,C
201A,201A,2,2204,2219,15,90,10,1,C
201A,201A,2,2775,2806,31,90,10,1,C
201A,201A,2,2858,2872,14,90,10,1,C
201A,201A,2,2930,2940,10,90,10,1,C
201A,201A,15,198,243,45,90,10,1,C
201A,201A,15,357,377,20,90,10,1,C
201A,201A,15,437,470,33,90,10,1,C
201A,201A,15,529,563,34,90,10,1,C
201A,201A,15,579,602,23,90,10,1,C
201A,201A,15,612,669,57,90,10,1,C
201A,201A,15,696,734,38,90,10,1,C
201A,201A,15,763,804,41,90,10,1,C
201A,201A,15,971,998,27,90,10,1,C
201A,201A,15,1059,1070,11,90,10,1,C
201A,201A,15,1314,1332,18,90,10,1,C
201A,201A,15,1479,1500,21,90,10,1,C
201A,201A,15,1513,1524,11,90,10,1,C
201A,201A,15,1575,1594,19,90,10,1,C
201A,201A,15,1617,1652,35,90,10,1,C
201A,201A,15,1673,1730,57,90,10,1,C
201A,201A,15,1752,1796,44,90,10,1,C
201A,201A,15,1803,1825,22,90,10,1,C
201A,201A,15,1839,1897,58,90,10,1,C
201A,201A,15,1906,1920,14,90,10,1,C
201A,201A,15,1943,1977,34,90,10,1,C
201A,201A,15,1998,2092,94,90,10,1,C
201A,201A,15,2113,2163,50,90,10,1,C
201A,201A,15,2203,2261,58,90,10,1,C
201A,201A,15,2291,2305,14,90,10,1,C
201A,201A,15,2490,2523,33,90,10,1,C
201A,201A,15,2536,2561,25,90,10,1,C
201A,201A,15,2604,2626,22,90,10,1,C
201A,201A,15,2718,2739,21,90,10,1,C
201A,201A,15,2760,2781,21,90,10,1,C
201A,201A,15,2931,2963,32,90,10,1,C
201A,201A,28,92,121,29,90,10,1,C
201A,201A,28,176,208,32,90,10,1,C
201A,201A,28,217,236,19,90,10,1,C
201A,201A,28,323,352,29,90,10,1,C
201A,201A,28,398,486,88,90,10,1,C
201A,201A,28,555,577,22,90,10,1,C
201A,201A,28,721,769,48,90,10,1,C
201A,201A,28,917,969,52,90,10,1,C
201A,201A,28,988,1057,69,90,10,1,C
201A,201A,28,1112,1145,33,90,10,1,C
201A,201A,28,1163,1238,75,90,10,1,C
201A,201A,28,1255,1291,36,90,10,1,C
201A,201A,28,1341,1375,34,90,10,1,C
201A,201A,28,1493,1524,31,90,10,1,C
201A,201A,28,1642,1674,32,90,10,1,C
201A,201A,28,1727,1746,19,90,10,1,C
201A,201A,28,1785,1829,44,90,10,1,C
201A,201A,28,1964,2032,68,90,10,1,C
201A,201A,28,2045,2073,28,90,10,1,C
201A,201A,28,2221,2255,34,90,10,1,C
201A,201A,28,2285,2307,22,90,10,1,C
201A,201A,28,2372,2406,34,90,10,1,C
201A,201A,28,2418,2435,17,90,10,1,C
201A,201A,28,2470,2492,22,90,10,1,C
201A,201A,28,2595,2611,16,90,10,1,C
201A,201A,28,2636,2670,34,90,10,1,C
201A,201A,28,2675,2685,10,90,10,1,C
201A,201A,28,2717,2749,32,90,10,1,C
201A,201A,28,2859,2872,13,90,10,1,C
201A,201A,28,2954,2974,20,90,10,1,C
201G,201G,2,0,23,23,90,10,1,C
201G,201G,2,52,114,62,90,10,1,C
201G,201G,2,132,208,76,90,10,1,C
201G,201G,2,214,271,57,90,10,1,C
201G,201G,2,277,315,38,90,10,1,C
201G,201G,2,328,339,11,90,10,1,C
201G,201G,2,390,455,65,90,10,1,C
201G,201G,2,496,547,51,90,10,1,C
201G,201G,2,597,721,124,90,10,1,C
201G,201G,2,812,831,19,90,10,1,C
201G,201G,2,871,881,10,90,10,1,C
201G,201G,2,935,963,28,90,10,1,C
201G,201G,2,1123,1150,27,90,10,1,C
201G,201G,2,1166,1184,18,90,10,1,C
201G,201G,2,1200,1238,38,90,10,1,C
201G,201G,2,1294,1309,15,90,10,1,C
201G,201G,2,1339,1379,40,90,10,1,C
201G,201G,2,1492,1513,21,90,10,1,C
201G,201G,2,1612,1686,74,90,10,1,C
201G,201G,2,1866,1889,23,90,10,1,C
201G,201G,2,1936,2010,74,90,10,1,C
201G,201G,2,2019,2038,19,90,10,1,C
201G,201G,2,2045,2069,24,90,10,1,C
201G,201G,2,2081,2121,40,90,10,1,C
201G,201G,2,2130,2146,16,90,10,1,C
201G,201G,2,2185,2196,11,90,10,1,C
201G,201G,2,2233,2331,98,90,10,1,C
201G,201G,2,2345,2366,21,90,10,1,C
201G,201G,2,2381,2415,34,90,10,1,C
201G,201G,2,2443,2510,67,90,10,1,C
201G,201G,2,2559,2598,39,90,10,1,C
