code,Scientific name,A common name,weed,pfg
BASC5,Bassia scoparia,kochia,weed,forb
BRTE,Bromus tectorum,cheatgrass,weed,ag
CENTA,Centaurea spp.,knapweed,weed,forb
CETE5,Ceratocephala testiculata,burr buttercup,weed,forb
CHJU,Chondrilla juncea,rush skeletonweed,weed,forb
DESO2,Descurainia sophia,herb sophia,weed,forb
LASE,Lactuca serriola,prickly lettuce,weed,forb
LEPE2,Lepidium perfoliatum,clasping pepperweed,weed,forb
POBU,Poa bulbosa,bulbous bluegrass,weed,pg
SATR12,Salsola tragus,Russina thistle,weed,forb
SIAL2,Sisymbrium altissimum,tall tumblemustard,weed,forb
TAOF,Taraxacum officinale,common dandelion,weed,forb
TRDU,Tragopogon dubius,yellow salsify,weed,forb
VUBR,Vulpia bromoides,brome fescue,weed,ag
DRVE2,Draba verna,spring draba,notweed,forb
HOUM,Holosteum umbellatum,jagged chickweed,notweed,forb
PSJU3,Psathyrostachys juncea,Russian wildrye,notweed,pg
ACMI2,Achillea millefolium var. occidentalis,western yarrow,notweed,forb
ACTH7,Achnatherum thurberianum,Thurber's needlegrass,notweed,pg
AGROP2,Agropyron spp.,crested & siberian wheatgrasses,notweed,pg
ALLIU,Allium spp.,wild onion,notweed,forb
ARTRT,Artemisia tridentata ssp. tridentata,basin big sagebrush,notweed,shrub
ASTRA,Astragalus spp.,milkvetch,notweed,forb
CHVI8,Chrysothamnus viscudiflorus,yellow rabbitbrush,notweed,shrub
CRAT,Crepis atribarba,slender hawksbeard,notweed,forb
ELEL5,Elymus elymoides,squirreltail,notweed,pg
ELLAL,Elymus lanceolatus,thikespike wheatgrass,notweed,pg
EPBR3,Epilobium brachycarpum,tall annual willowherb,notweed,forb
ERCI6,Erodium cicutarium,redstem stork's bill,notweed,forb
ERPU2,Erigeron pumilus,shaggy fleabane,notweed,forb
GADI2,Gayophytum diffusum,spreading groundsmoke,notweed,forb
GARA2,Gayophytum ramosissimum,pinyon groundsmoke,notweed,forb
HECO26,Hesperostipa comata,needle and thread,notweed,pg
KOMA,Koeleria macrantha,prairie junegrass,notweed,pg
BAPR5,Bassia prostrata,forage kochia,notweed,forb
LAOC3,Lappula occidentalis,flatspine stickseed,notweed,forb
LECI4,Leymus cinereus,basin wildrye,notweed,pg
LILE3,Linum lewisii,Lewis flax,notweed,forb
LODI,Lomatium dissectum,fernleaf biscuitroot,notweed,forb
LUAR6,Lupinus arbustus,longspur lupine,notweed,forb
LUSE4,Lupinus sericeus,silky lupine,notweed,forb
MESA,Medicago sativa,alfalfa,notweed,forb
NEST5,Nestotus stenophyllus,narrowleaf mock goldenweed,notweed,forb
PHLO2,Phlox longifolia,longleaf phlox,notweed,forb
POFE,Poa fendleriana,muttongrass,notweed,pg
POSE,Poa secunda,Sandberg bluegrass,notweed,pg
PSSP6,Pseudoroegneria spicata,bluebunch wheatgrass,notweed,pg
STEX,Stephanomeria exigua,small wirelettuce,notweed,forb
VIOLA,Viola spp.,violet,notweed,forb
